name,latitude,longitude,region,population
Paris,48.8566,2.3522,Île-de-France,2148271
Marseille,43.2964,5.37,Provence-Alpes-Côte d’Azur,868277
Lyon,45.76,4.84,Auvergne-Rhône-Alpes,518635
Toulouse,43.6045,1.444,Occitanie,486828
Nice,43.7034,7.2663,Provence-Alpes-Côte d’Azur,341032
Nantes,47.2181,-1.5528,Pays de la Loire,314138
Montpellier,43.6119,3.8772,Occitanie,290053
Strasbourg,48.5833,7.7458,Grand Est,284677
Bordeaux,44.84,-0.58,Nouvelle-Aquitaine,257068
Lille,50.6278,3.0583,Hauts-de-France,233098
Rennes,48.1147,-1.6794,Bretagne,217728
Reims,49.2628,4.0347,Grand Est,182211
Toulon,43.1258,5.9306,Provence-Alpes-Côte d’Azur,176198
Saint-Étienne,45.4347,4.3903,Auvergne-Rhône-Alpes,173089
Le Havre,49.49,0.1,Normandie,169733
Grenoble,45.1715,5.7224,Auvergne-Rhône-Alpes,157650
Dijon,47.3167,5.0167,Bourgogne-Franche-Comté,156854
Angers,47.4736,-0.5542,Pays de la Loire,154508
Villeurbanne,45.7667,4.8803,Auvergne-Rhône-Alpes,150659
Nîmes,43.838,4.361,Occitanie,149633
Clermont-Ferrand,45.7831,3.0824,Auvergne-Rhône-Alpes,146734
Le Mans,48.0077,0.1984,Pays de la Loire,143252
Aix-en-Provence,43.5263,5.4454,Provence-Alpes-Côte d’Azur,143097
Brest,48.39,-4.49,Bretagne,139602
Tours,47.3936,0.6892,Centre-Val de Loire,136463
Amiens,49.892,2.299,Hauts-de-France,133891
Limoges,45.8353,1.2625,Nouvelle-Aquitaine,131479
Annecy,45.916,6.133,Auvergne-Rhône-Alpes,128199
Boulogne-Billancourt,48.8352,2.2409,Île-de-France,121334
Perpignan,42.6986,2.8956,Occitanie,119188
Besançon,47.24,6.02,Bourgogne-Franche-Comté,117912
Metz,49.1203,6.1778,Grand Est,116581
Orléans,47.9025,1.909,Centre-Val de Loire,116238
Saint-Denis,48.9356,2.3539,Île-de-France,112091
Rouen,49.4428,1.0886,Normandie,111360
Argenteuil,48.95,2.25,Île-de-France,110213
Montreuil,48.8611,2.4436,Île-de-France,109914
Mulhouse,47.75,7.34,Grand Est,108942
Caen,49.18,-0.37,Normandie,105512
Nancy,48.6936,6.1846,Grand Est,104885
Roubaix,50.6901,3.1817,Hauts-de-France,98089
Tourcoing,50.7239,3.1612,Hauts-de-France,97442
Nanterre,48.8988,2.1969,Île-de-France,96807
Vitry-sur-Seine,48.7875,2.3928,Île-de-France,94649
Créteil,48.7911,2.4628,Île-de-France,92265
Avignon,43.95,4.8075,Provence-Alpes-Côte d’Azur,91729
Poitiers,46.58,0.34,Nouvelle-Aquitaine,88665
Aubervilliers,48.9131,2.3831,Île-de-France,87572
Dunkerque,51.0383,2.3775,Hauts-de-France,86865
Aulnay-sous-Bois,48.9386,2.4906,Île-de-France,86278
Colombes,48.9236,2.2522,Île-de-France,86052
Versailles,48.8053,2.135,Île-de-France,85205
Courbevoic,48.8978,2.2531,Île-de-France,82198
Rueil-Malmaison,48.876,2.181,Île-de-France,77986
Béziers,43.3476,3.219,Occitanie,77599
Champigny-sur-Marne,48.8172,2.5156,Île-de-France,77039
Pau,43.3,-0.37,Nouvelle-Aquitaine,76275
La Rochelle,46.1591,-1.1517,Nouvelle-Aquitaine,76114
Saint-Maur-des-Fossés,48.7994,2.4997,Île-de-France,75298
Cannes,43.5513,7.0128,Provence-Alpes-Côte d’Azur,73965
Calais,50.9481,1.8564,Hauts-de-France,72929
Antibes,43.5808,7.1239,Provence-Alpes-Côte d’Azur,72915
Drancy,48.93,2.45,Île-de-France,72109
Ajaccio,41.9267,8.7369,Corsica,70817
Mérignac,44.8386,-0.6436,Nouvelle-Aquitaine,70813
